,sample_id,river_site,type,position,color_type,color_Lima
Chacahuaro,A0108a,Chacahuaro,River,Regional,#D55E00,#CC79A7
Chicla,A0402,Chicla,River,Regional,#D55E00,#CC79A7
San_Mateo,A0403,San Mateo,River,Regional,#D55E00,#CC79A7
Tamboraque,A0404,Tamboraque,River,Regional,#D55E00,#CC79A7
Huanchor,A0405,Huanchor,River,Regional,#D55E00,#CC79A7
Santa_Eulalia,A0406,Santa Eulalia,River,Regional,#D55E00,#CC79A7
Chaclacayo,A0409,Chaclacayo,River,Regional,#D55E00,#CC79A7
Huachipa,A0410,Huachipa,River,Regional,#D55E00,#CC79A7
Pte_Libertadores,A0501,Puente Libertadores,River,Metropolitan,#D55E00,#E69F00
Pte_Nuevo,A0502,Puente Nuevo,River,Metropolitan,#D55E00,#E69F00
Pte_Universitaria,A0503,Puente Universitaria,River,Metropolitan,#D55E00,#E69F00
Pte_Faucett,A0504,Puente Faucett,River,Metropolitan,#D55E00,#E69F00
Pte_Gambeta,A0505,Puente Gambetta,River,Metropolitan,#D55E00,#E69F00
